,p,u,d,t,s,n_sl,n_tp,n_close,prof_sum,8_y,ppp
24,AUDCAD,0.9999,0.040000000000000036,0.002,0.009,0,23,7,0.025304786992621536,0.025304786992621536,0.0008434928997540513
32,AUDCHF,0.96,0.030000000000000027,0.002,0.009,0,23,3,0.03493045352626614,0.03493045352626614,0.001343478981779467
67,AUDJPY,0.98,0.020000000000000018,0.002,0.009,0,17,2,0.02261922108828219,0.02261922108828219,0.0011904853204359046
119,AUDNZD,0.9999,9.999999999998899e-05,0.002,0.009,0,0,0,0.0,0.0,
138,AUDUSD,0.999,0.040000000000000036,0.002,0.009,2,34,5,0.02572665816463309,0.02572665816463309,0.0006274794674300753
169,CADCHF,0.999,0.020000000000000018,0.002,0.009,0,9,2,0.004946811706611612,0.004946811706611612,0.00044971015514651014
181,CADJPY,0.96,0.020000000000000018,0.002,0.009,0,7,2,0.008168652349811973,0.008168652349811973,0.000907628038867997
230,CHFJPY,0.999,0.030000000000000027,0.002,0.009,0,8,7,0.002374689893713493,0.002374689893713493,0.00015831265958089955
267,EURAUD,0.9999,0.010000000000000009,0.002,0.009,0,4,1,0.0034364284569780796,0.0034364284569780796,0.0006872856913956159
290,EURCAD,0.999,0.030000000000000027,0.002,0.009,0,9,2,0.009867852875452457,0.009867852875452457,0.0008970775341320416
308,EURCHF,0.98,0.030000000000000027,0.002,0.009,0,8,7,0.005033835144383951,0.005033835144383951,0.0003355890096255968
336,EURGBP,0.98,0.040000000000000036,0.002,0.009,0,13,8,0.016860742057844113,0.016860742057844113,0.0008028924789449577
379,EURJPY,0.999,0.020000000000000018,0.002,0.009,0,14,3,0.015256152579826104,0.015256152579826104,0.0008974207399897709
394,EURNZD,0.96,0.0010000000000000009,0.002,0.009,0,6,0,0.0105,0.0105,0.00175
439,EURUSD,0.999,0.020000000000000018,0.002,0.009,0,7,6,0.002305737393442603,0.002305737393442603,0.00017736441488020024
457,GBPAUD,0.98,0.020000000000000018,0.002,0.009,0,9,3,0.008210723266112926,0.008210723266112926,0.0006842269388427439
483,GBPCAD,0.96,0.010000000000000009,0.002,0.009,0,6,2,0.008210028706824626,0.008210028706824626,0.0010262535883530783
513,GBPCHF,0.96,0.010000000000000009,0.002,0.009,0,5,2,0.005171478533563055,0.005171478533563055,0.000738782647651865
543,GBPJPY,0.96,0.010000000000000009,0.002,0.009,0,9,2,0.014547980210526404,0.014547980210526404,0.0013225436555024004
591,GBPNZD,0.999,0.010000000000000009,0.002,0.009,0,6,3,0.0052047554449216795,0.0052047554449216795,0.0005783061605468533
618,GBPUSD,0.999,0.040000000000000036,0.002,0.009,0,18,6,0.01809818444458364,0.01809818444458364,0.0007540910185243184
656,NZDCAD,0.9999,0.030000000000000027,0.002,0.009,0,11,4,0.009831172483329109,0.009831172483329109,0.0006554114988886072
660,NZDCHF,0.96,0.040000000000000036,0.002,0.009,0,21,2,0.03313703314746042,0.03313703314746042,0.001440740571628714
716,NZDJPY,0.9999,0.030000000000000027,0.002,0.009,0,16,3,0.015607778673518483,0.015607778673518483,0.0008214620354483412
738,NZDUSD,0.999,0.040000000000000036,0.002,0.009,0,28,4,0.03942925170738705,0.03942925170738705,0.0012321641158558453
776,USDCAD,0.9999,0.030000000000000027,0.002,0.009,0,4,2,0.007107557551071891,0.007107557551071891,0.0011845929251786485
807,USDCHF,0.9999,0.010000000000000009,0.002,0.009,0,4,1,0.005781092144225696,0.005781092144225696,0.0011562184288451392
811,USDJPY,0.96,0.020000000000000018,0.002,0.009,0,9,3,0.012117153193572525,0.012117153193572525,0.0010097627661310438
