p,u,d,t,s,n_sl,n_tp,n_close,ppp
AUDCAD,0.999,0.001,0.004,0.0015,2,2,4,0.00052628
AUDCHF,0.999,0.001,0.0015,0.0045,0,28,9,0.001075507
AUDJPY,0.999,0.001,0.004,0.007,0,18,26,0.001140102
AUDNZD,0.999,1.00E-04,0.0015,0.0015,0,0,0,
AUDUSD,0.999,1.00E-04,0.0015,0.0015,0,1,0,0.003983688
CADCHF,0.999,0.001,0.004,0.004,0,5,7,0.001898648
CADJPY,0.9999,0.001,0.004,0.006,1,10,13,0.001231468
CHFJPY,0.999,1.00E-04,0.0015,0.002,1,1,1,0.000136005
EURAUD,0.999,0.001,0.0015,0.0015,0,2,0,0.001337341
EURCAD,0.999,1.00E-04,0.0015,0.0015,0,0,0,
EURCHF,0.999,0.001,0.0015,0.002,0,1,2,9.86E-05
EURGBP,0.999,1.00E-04,0.0015,0.0015,0,0,0,
EURJPY,0.999,0.001,0.005,0.005,0,3,15,0.000474287
EURNZD,0.999,0.001,0.0015,0.002,0,1,1,0.000779291
EURUSD,0.999,0.001,0.0015,0.003,0,4,2,0.001359586
GBPAUD,0.999,0.001,0.0015,0.0015,1,2,1,0.000463518
GBPCAD,0.999,1.00E-05,0.0015,0.0015,0,0,0,
GBPCHF,0.999,0.001,0.0015,0.004,0,8,4,0.000817127
GBPJPY,0.999,0.001,0.0015,0.006,0,18,7,0.0010422
GBPNZD,0.999,0.001,0.0015,0.002,0,2,2,0.001325079
GBPUSD,0.999,0.001,0.002,0.0015,3,7,3,0.001230029
NZDCAD,0.999,0.001,0.0015,0.0015,1,2,0,0.000753703
NZDCHF,0.999,1.00E-05,0.0015,0.0015,0,0,0,
NZDJPY,0.999,0.001,0.002,0.007,0,14,10,0.000639973
NZDUSD,0.999,1.00E-04,0.0015,0.0025,0,1,0,0.001802569
USDCAD,0.999,0.001,0.0015,0.0015,0,0,0,
USDCHF,0.999,0.001,0.005,0.002,2,2,11,0.001568048
USDJPY,0.999,0.001,0.002,0.0035,0,4,4,0.001187375
